Symbol,StartDate,EndDate,Expiry,Low,High
NIFTY,31Aug2021,09Sep2021,09Sep2021,16550,17900
NIFTY,07Sep2021,16Sep2021,16Sep2021,16750,18000
NIFTY,14Sep2021,23Sep2021,23Sep2021,16800,18250
NIFTY,21Sep2021,30Sep2021,30Sep2021,17050,18400
NIFTY,28Sep2021,07Oct2021,07Oct2021,16950,18350
NIFTY,05Oct2021,14Oct2021,14Oct2021,17250,18650
NIFTY,12Oct2021,21Oct2021,21Oct2021,17700,19100
NIFTY,19Oct2021,28Oct2021,28Oct2021,17450,18850
NIFTY,26Oct2021,04Nov2021,04Nov2021,17100,18650
NIFTY,02Nov2021,11Nov2021,11Nov2021,17300,18600
NIFTY,09Nov2021,18Nov2021,18Nov2021,17250,18700
NIFTY,16Nov2021,25Nov2021,25Nov2021,16700,18400
NIFTY,23Nov2021,02Dec2021,02Dec2021,16250,18050
NIFTY,30Nov2021,09Dec2021,09Dec2021,16350,17950
NIFTY,07Dec2021,16Dec2021,16Dec2021,16650,18100
NIFTY,14Dec2021,23Dec2021,23Dec2021,15900,17850
NIFTY,21Dec2021,30Dec2021,30Dec2021,16300,17750
NIFTY,28Dec2021,06Jan2022,06Jan2022,16600,18400
NIFTY,04Jan2022,13Jan2022,13Jan2022,17150,18700
NIFTY,11Jan2022,20Jan2022,20Jan2022,17350,18850
NIFTY,18Jan2022,27Jan2022,27Jan2022,16300,18400
NIFTY,25Jan2022,03Feb2022,03Feb2022,16350,18250
NIFTY,01Feb2022,10Feb2022,10Feb2022,16500,18250
NIFTY,08Feb2022,17Feb2022,17Feb2022,16300,18100
NIFTY,15Feb2022,24Feb2022,24Feb2022,16300,17900
NIFTY,22Feb2022,03Mar2022,03Mar2022,15700,17300
NIFTY,01Mar2022,10Mar2022,10Mar2022,15150,17250
NIFTY,08Mar2022,17Mar2022,17Mar2022,15900,17450
NIFTY,15Mar2022,24Mar2022,24Mar2022,16500,17900
NIFTY,22Mar2022,31Mar2022,31Mar2022,16500,18000
NIFTY,29Mar2022,07Apr2022,07Apr2022,16900,18600
NIFTY,05Apr2022,14Apr2022,14Apr2022,16900,18300
NIFTY,12Apr2022,21Apr2022,21Apr2022,16300,17750
NIFTY,19Apr2022,28Apr2022,28Apr2022,16350,17900
NIFTY,26Apr2022,05May2022,05May2022,16100,17850
NIFTY,03May2022,12May2022,12May2022,15450,17400
NIFTY,10May2022,19May2022,19May2022,15200,16850
NIFTY,17May2022,26May2022,26May2022,15250,16900
NIFTY,24May2022,02Jun2022,02Jun2022,15400,17150
NIFTY,31May2022,09Jun2022,09Jun2022,15750,17250
NIFTY,07Jun2022,16Jun2022,16Jun2022,15150,16950
NIFTY,14Jun2022,23Jun2022,23Jun2022,14650,16350
NIFTY,21Jun2022,30Jun2022,30Jun2022,14850,16400
NIFTY,28Jun2022,07Jul2022,07Jul2022,15000,16500
NIFTY,05Jul2022,14Jul2022,14Jul2022,15450,16750
NIFTY,12Jul2022,21Jul2022,21Jul2022,15350,17050
NIFTY,19Jul2022,28Jul2022,28Jul2022,15900,17250
NIFTY,26Jul2022,04Aug2022,04Aug2022,16200,17900
NIFTY,02Aug2022,11Aug2022,11Aug2022,16650,18050
NIFTY,09Aug2022,18Aug2022,18Aug2022,17050,18450
NIFTY,16Aug2022,25Aug2022,25Aug2022,16800,18450
NIFTY,23Aug2022,01Sep2022,01Sep2022,16650,18250
NIFTY,30Aug2022,08Sep2022,08Sep2022,16950,18250
NIFTY,06Sep2022,15Sep2022,15Sep2022,17150,18550
NIFTY,13Sep2022,22Sep2022,22Sep2022,16900,18550
NIFTY,20Sep2022,29Sep2022,29Sep2022,16300,18200
NIFTY,27Sep2022,06Oct2022,06Oct2022,16200,17750
NIFTY,04Oct2022,13Oct2022,13Oct2022,16450,17900
NIFTY,11Oct2022,20Oct2022,20Oct2022,16450,18100
NIFTY,18Oct2022,27Oct2022,27Oct2022,16900,18300
NIFTY,25Oct2022,03Nov2022,03Nov2022,17150,18650
NIFTY,01Nov2022,10Nov2022,10Nov2022,17450,18750
NIFTY,08Nov2022,17Nov2022,17Nov2022,17450,18900
NIFTY,15Nov2022,24Nov2022,24Nov2022,17600,18900
NIFTY,22Nov2022,01Dec2022,01Dec2022,17750,19300
NIFTY,29Nov2022,08Dec2022,08Dec2022,18000,19350
NIFTY,06Dec2022,15Dec2022,15Dec2022,17800,19150
NIFTY,13Dec2022,22Dec2022,22Dec2022,17650,19150
NIFTY,20Dec2022,29Dec2022,29Dec2022,17250,18800
NIFTY,27Dec2022,05Jan2023,05Jan2023,17450,18750
NIFTY,03Jan2023,12Jan2023,12Jan2023,17250,18600
NIFTY,10Jan2023,19Jan2023,19Jan2023,17250,18650
NIFTY,17Jan2023,26Jan2023,26Jan2023,17300,18700
NIFTY,24Jan2023,02Feb2023,02Feb2023,16850,18450
NIFTY,31Jan2023,09Feb2023,09Feb2023,16900,18350
NIFTY,07Feb2023,16Feb2023,16Feb2023,17200,18500
NIFTY,14Feb2023,23Feb2023,23Feb2023,17000,18600
NIFTY,21Feb2023,02Mar2023,02Mar2023,16750,18100
